CommentID	FileID	SeriesUID	EchoTime	PhaseEncodingDirection	EchoNumber	SessionID	CommentTypeID	PredefinedCommentID	Comment	ChangeTime
532	134	1.3.12.2.1107.5.2.32.35008.2009052710234557661341584.0.0.0	0.00316	\N	\N	\N	2	2	\N	2019-05-28 10:19:58
533	134	1.3.12.2.1107.5.2.32.35008.2009052710234557661341584.0.0.0	0.00316	\N	\N	\N	3	8	\N	2019-05-28 10:19:58
856	155	1.3.12.2.1107.5.2.32.35140.200905281809277943587276.0.0.0	0.499	\N	\N	\N	2	4	\N	2019-05-28 10:19:58
983	257	1.3.12.2.1107.5.2.32.35182.2011081519071350943359698.0.0.0	0.027	\N	\N	\N	5	19	\N	2019-05-28 10:19:58
984	257	1.3.12.2.1107.5.2.32.35182.2011081519071350943359698.0.0.0	0.027	\N	\N	\N	5	20	\N	2019-05-28 10:19:58
1539	192	1.3.12.2.1107.5.2.32.35140.200905291749582811927772.0.0.0	0.499	\N	\N	\N	2	4	\N	2019-05-28 10:19:58
1540	192	1.3.12.2.1107.5.2.32.35140.200905291749582811927772.0.0.0	0.499	\N	\N	\N	2	\N	on-brain tissue is very noisy	2019-05-28 10:19:58
2034	336	1.3.12.2.1107.5.2.32.35412.2010091413482152464230659.0.0.0	0.497	\N	\N	\N	2	4	\N	2019-05-28 10:19:58
2035	336	1.3.12.2.1107.5.2.32.35412.2010091413482152464230659.0.0.0	0.497	\N	\N	\N	2	\N	this is a bit noisier than most t2 from UNC	2019-05-28 10:19:58
16989	335	1.3.12.2.1107.5.2.32.35412.201009141337447209029882.0.0.0	0.00316	\N	\N	\N	2	4	\N	2019-05-28 10:19:58
16990	335	1.3.12.2.1107.5.2.32.35412.201009141337447209029882.0.0.0	0.00316	\N	\N	\N	2	\N	this is a bit noisier than most t1 from UNC	2019-05-28 10:19:58
17018	412	1.3.12.2.1107.5.2.32.35412.2010091414140972896788338.0.0.0	0.00316	\N	\N	\N	2	4	\N	2019-05-28 10:19:58
17019	412	1.3.12.2.1107.5.2.32.35412.2010091414140972896788338.0.0.0	0.00316	\N	\N	\N	2	\N	slightly noisy	2019-05-28 10:19:58
17020	412	1.3.12.2.1107.5.2.32.35412.2010091414140972896788338.0.0.0	0.00316	\N	\N	\N	6	\N	Candidate moved during scan	2019-05-28 10:19:58
