FileQCID	FileID	SeriesUID	EchoTime	PhaseEncodingDirection	EchoNumber	QCStatus	QCFirstChangeTime	QCLastChangeTime	Selected
1201	154	1.3.12.2.1107.5.2.32.35140.2009052818025478074186630.0.0.0	0.00316	\N	\N	Pass	1244221789	1559053392	true
1204	155	1.3.12.2.1107.5.2.32.35140.200905281809277943587276.0.0.0	0.499	\N	\N	Pass	1244221789	1559053392	true
1211	134	1.3.12.2.1107.5.2.32.35008.2009052710234557661341584.0.0.0	0.00316	\N	\N	Pass	1245079203	1559053326	true
1213	135	1.3.12.2.1107.5.2.32.35008.2009052710301888858442230.0.0.0	0.499	\N	\N	Pass	1245079203	1559053326	true
1222	137	1.3.12.2.1107.5.2.32.35008.30000009052723063231200000164	0.00316	\N	\N	Pass	1245079203	1559053362	true
1223	138	1.3.12.2.1107.5.2.32.35008.30000009052723063231200000325	0.499	\N	\N	Pass	1245079203	1559053362	true
1303	191	1.3.12.2.1107.5.2.32.35140.2009052917432457017327126.0.0.0	0.00316	\N	\N	Pass	1245080137	1559053422	true
1305	192	1.3.12.2.1107.5.2.32.35140.200905291749582811927772.0.0.0	0.499	\N	\N	Pass	1245080137	1559053422	true
3752	245	1.3.12.2.1107.5.2.32.35182.2008073113423410746119322.0.0.0	0.499	\N	\N	Pass	1314115846	1540921925	true
3812	247	1.3.12.2.1107.5.2.32.35182.2009060916450699961483418.0.0.0	0.00316	\N	\N	Pass	1327765981	1540921932	true
3814	248	1.3.12.2.1107.5.2.32.35182.2009060916513929723684064.0.0.0	0.499	\N	\N	Pass	1327765981	1540921932	true
8907	440	1.3.12.2.1107.5.2.32.35008.2010081720232532169233614.0.0.0	0.00316	\N	\N	Pass	1327766155	1559053343	true
8908	441	1.3.12.2.1107.5.2.32.35008.2010081720295184960234260.0.0.0	0.497	\N	\N	Pass	1327766155	1559053343	true
8909	140	1.3.12.2.1107.5.2.32.35008.2010081821331038813272724.0.0.0	0.00316	\N	\N	Pass	1327766267	1559053368	true
8910	141	1.3.12.2.1107.5.2.32.35008.2010081821393982646073370.0.0.0	0.497	\N	\N	Pass	1327766267	1559053368	true
