ID	ParentID	SchemaID	Name	LongName	Description
1	\N	1	Event	Event	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.
2	1	1	Sensory-event	Event/Sensory-event	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.
3	1	1	Agent-action	Event/Agent-action	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.
4	1	1	Data-feature	Event/Data-feature	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.
5	1	1	Experiment-control	Event/Experiment-control	An event pertaining to the physical control of the experiment during its operation.
6	1	1	Experiment-procedure	Event/Experiment-procedure	An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.
7	1	1	Experiment-structure	Event/Experiment-structure	An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.
8	1	1	Measurement-event	Event/Measurement-event	A discrete measure returned by an instrument.
9	\N	1	Agent	Agent	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.
10	9	1	Animal-agent	Agent/Animal-agent	An agent that is an animal.
11	9	1	Avatar-agent	Agent/Avatar-agent	An agent associated with an icon or avatar representing another agent.
12	9	1	Controller-agent	Agent/Controller-agent	An agent experiment control software or hardware.
13	9	1	Human-agent	Agent/Human-agent	A person who takes an active role or produces a specified effect.
14	9	1	Robotic-agent	Agent/Robotic-agent	An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.
15	9	1	Software-agent	Agent/Software-agent	An agent computer program.
16	\N	1	Action	Action	Do something.
17	16	1	Communicate	Action/Communicate	Convey knowledge of or information about something.
18	17	1	Communicate-gesturally	Action/Communicate/Communicate-gesturally	Communicate nonverbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.
19	18	1	Clap-hands	Action/Communicate/Communicate-gesturally/Clap-hands	Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.
20	18	1	Clear-throat	Action/Communicate/Communicate-gesturally/Clear-throat	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.
21	18	1	Frown	Action/Communicate/Communicate-gesturally/Frown	Express disapproval, displeasure, or concentration, typically by turning down the corners of the mouth.
22	18	1	Grimace	Action/Communicate/Communicate-gesturally/Grimace	Make a twisted expression, typically expressing disgust, pain, or wry amusement.
