ID	MriScanTypeID	Severity	Header	ValidMin	ValidMax	ValidRegex	MriProtocolChecksGroupID
1	45	warning	echo_time	0.4900	0.5280	\N	1
2	66	warning	repetition_time	12.8000	12.8000	\N	1
3	66	warning	repetition_time	13.3000	13.3000	\N	1
4	66	warning	echo_time	0.1020	0.1020	\N	1
5	65	warning	repetition_time	11.1000	11.1000	\N	1
6	65	warning	repetition_time	11.2000	11.2000	\N	1
7	65	warning	echo_time	0.1020	0.1030	\N	1
8	66	warning	slice_thickness	2.0000	2.0000	\N	1
9	66	warning	time	26.0000	26.0000	\N	1
10	65	warning	time	65.0000	65.0000	\N	1
11	63	warning	repetition_time	0.6670	0.6670	\N	1
12	44	warning	echo_time	0.0030	0.0040	\N	1
13	44	warning	slice_thickness	1.0000	1.0000	\N	1
