MriScanTypeID	MriScanTypeName
1013	-defaced
55	clean_cls
54	cocosco_cls
60	csf_matter
50	dct2e1
51	dct2e2
48	dti
1006	DTIPrepBaseline
1009	DTIPrepBetMask
1008	DTIPrepDTI
1003	DTIPrepDTIColorFA
1004	DTIPrepDTIFA
1005	DTIPrepDTIMD
1002	DTIPrepNoReg
1010	DTIPrepQCReport
1001	DTIPrepReg
1012	DTIPrepXMLProtocol
1011	DTIPrepXMLQCReport
1007	DTPrepIDWI
66	dwi25
65	dwi65
56	em_cls
63	fieldmapBOLD
64	fieldmapDWI
41	flair
40	fMRI
59	gray_matter
47	mrs
1000	NA
61	nlr_masked
46	pd
62	pve
52	scout
57	seg
44	t1
1015	t1-defaced
49	t1relx
45	t2
1014	t2-defaced
53	tal_msk
999	unknown
58	white_matter
