ID	Manufacturer	Model	Serial_number	Software	CandidateID
1	SIEMENS	TrioTim	35008	syngo MR B15	1005
2	SIEMENS	TrioTim	35182	syngo MR B15	1006
3	SIEMENS	TrioTim	35140	syngo MR B15	1007
4	SIEMENS	TrioTim	35140	syngo MR B17	1007
5	SIEMENS	TrioTim	35008	syngo MR B17	1005
6	SIEMENS	TrioTim	35182	syngo MR B17	1006
7	SIEMENS	TrioTim	35045	syngo MR B15	1008
8	SIEMENS	TrioTim	35177	syngo MR B17	1009
9	SIEMENS	TrioTim		syngo MR B15	1015
10	SIEMENS	TrioTim	35056	syngo MR B15	1016
11	SIEMENS	TrioTim	35248	syngo MR B17	1017
12	SIEMENS	TrioTim	35412	syngo MR B17	1018
13	SIEMENS	TrioTim	35045	syngo MR B17	1008
14	SIEMENS	TrioTim	35056	syngo MR B17	1016
