ParameterTypeID	Name	Alias	Type	Description	RangeMin	RangeMax	SourceField	SourceFrom	SourceCondition	Queryable	IsFile
2	Geometric_distortion	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
3	Intensity_artifact	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
4	Movement_artifacts_within_scan	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
5	Movement_artifacts_between_packets	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
6	Coverage	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
7	md5hash	\N	varchar(255)	md5hash magically created by NeuroDB::File	\N	\N	parameter_file.Value	parameter_file	\N	1	0
8	Color_Artifact	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
9	Entropy	\N	text	\N	\N	\N	\N	parameter_file	\N	0	0
10	candidate_label	\N	text	Identifier_of_candidate	\N	\N	PSCID	candidate	\N	1	0
11	Visit_label	\N	varchar(255)	Visit_label	\N	\N	visit_label	session	\N	1	0
12	candidate_dob	\N	date	Candidate_Dob	\N	\N	DoB	candidate	\N	1	0
13	slice_thickness	SliceThickness	text	Nominal reconstructed slice thickness (for tomographic imaging) or depth of field (for optical non-tomographic imaging), in mm. DICOM:0018_0050	\N	\N	\N	parameter_file	\N	0	0
14	acquisition:slice_order	\N	text	acquisition:slice_order magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
15	dicom_0x0051:el_0x1011	\N	text	dicom_0x0051:el_0x1011 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
16	image:vartype	\N	text	image:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
17	acquisition:percent_sampling	\N	text	acquisition:percent_sampling magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
18	dicom_0x0051:el_0x1012	\N	text	dicom_0x0051:el_0x1012 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
19	dicom_0x0028:vartype	\N	text	dicom_0x0028:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
20	yspace:alignment	\N	text	yspace:alignment magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
21	acquisition:receive_coil	\N	text	acquisition:receive_coil magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
22	dicom_0x0018:el_0x0015	BodyPartExamined	text	Text description of the part of the body examined. Some IODs support the Anatomic Region Sequence (0008,2218), which can provide a more comprehensive mechanism for specifying the body part being examined. DICOM:0018_0015	\N	\N	\N	parameter_file	\N	0	0
23	max:vartype	\N	text	max:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
24	acquisition:num_slices	NumberOfSlices	text	The maximum number of Slices that may exist in this Series. DICOM:0054_0081	\N	\N	\N	parameter_file	\N	0	0
25	pixel_bandwidth	PixelBandwidth	text	Reciprocal of the total sampling period, in hertz per pixel. DICOM:0018_0095	\N	\N	\N	parameter_file	\N	0	0
26	dicom_0x0019:el_0x1015	\N	text	dicom_0x0019:el_0x1015 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
27	xspace	\N	text	xspace magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
28	xstep	\N	text	xstep magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
29	acquisition_matrix	AcquisitionMatrixPE	text	Dimensions of the acquired frequency/phase data before reconstruction. Multi-valued: frequency rowsfrequency columnsphase rowsphase columns. DICOM:0018_1310	\N	\N	\N	parameter_file	\N	0	0
30	dicom_0x0019:varid	\N	text	dicom_0x0019:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
31	acquisition:injection_route	\N	text	acquisition:injection_route magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
32	acquisition:tracer	\N	text	acquisition:tracer magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
33	study_id	StudyID	text	User or equipment generated Study identifier. DICOM:0020_0010	\N	\N	\N	parameter_file	\N	0	0
34	xspace:version	\N	text	xspace:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
35	dicom_0x0051:vartype	\N	text	dicom_0x0051:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
36	dicom_0x0040:el_0x0000	\N	text	dicom_0x0040:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
37	xspace:step	\N	text	xspace:step magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
38	dicom_0x0029:varid	\N	text	dicom_0x0029:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
39	dicom_groups:varid	\N	text	dicom_groups:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
40	dicom_0x0051:el_0x1019	\N	text	dicom_0x0051:el_0x1019 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
41	modality	Modality	text	Type of equipment that originally acquired the data used to create images or related objects. DICOM:0008_0060	\N	\N	\N	parameter_file	\N	0	0
42	dicom_0x0008:el_0x0000	\N	text	dicom_0x0008:el_0x0000 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
43	dicom_0x0029:el_0x1009	\N	text	dicom_0x0029:el_0x1009 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
44	dicom_0x0019:el_0x1011	\N	text	dicom_0x0019:el_0x1011 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
45	dicom_0x0029:el_0x0010	\N	text	dicom_0x0029:el_0x0010 magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
46	:history	\N	text	:history magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
47	min:version	\N	text	min:version magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
48	sequence_variant	SequenceVariant	text	Variant of the Scanning Sequence. DICOM:0018_0021	\N	\N	\N	parameter_file	\N	0	0
49	acquisition:positron_fraction	\N	text	acquisition:positron_fraction magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
50	acquisition:SAR	\N	text	acquisition:SAR magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
51	study:varid	\N	text	study:varid magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
52	dicom_0x0018:vartype	\N	text	dicom_0x0018:vartype magically created by NeuroDB::File	\N	\N	\N	parameter_file	\N	0	0
53	mr_acquisition_type	MRAcquisitionType	text	Identification of data encoding scheme. DICOM:0018_0023	\N	\N	\N	parameter_file	\N	0	0
