PhysiologicalChannelID	PhysiologicalFileID	PhysiologicalChannelTypeID	PhysiologicalStatusTypeID	InsertTime	Name	Description	SamplingFrequency	LowCutoff	HighCutoff	ManualFlag	Notch	Reference	StatusDescription	Unit	FilePath
1	1	1	1	2019-08-21 15:09:58	A1	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
2	1	1	1	2019-08-21 15:09:58	A2	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
3	1	1	1	2019-08-21 15:09:58	A3	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
4	1	1	1	2019-08-21 15:09:58	A4	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
5	1	1	1	2019-08-21 15:09:58	A5	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
6	1	1	1	2019-08-21 15:09:58	A6	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
7	1	1	1	2019-08-21 15:09:58	A7	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
8	1	1	1	2019-08-21 15:09:58	A8	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
9	1	1	1	2019-08-21 15:09:58	A9	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
10	1	1	1	2019-08-21 15:09:58	A10	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
11	1	1	1	2019-08-21 15:09:58	A11	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
12	1	1	1	2019-08-21 15:09:58	A12	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
13	1	1	1	2019-08-21 15:09:58	A13	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
14	1	1	1	2019-08-21 15:09:58	A14	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
15	1	1	1	2019-08-21 15:09:58	A15	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
16	1	1	1	2019-08-21 15:09:58	A16	\N	\N	\N	\N	\N	\N	\N	\N	microV	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_channels.tsv
