PhysiologicalParameterFileID	PhysiologicalFileID	ProjectID	ParameterTypeID	InsertTime	Value
1	1	1	1125	2019-08-21 15:09:57	CMS
2	1	1	1126	2019-08-21 15:09:57	512
3	1	1	1127	2019-08-21 15:09:57	0
4	1	1	1128	2019-08-21 15:09:57	n/a
5	1	1	1129	2019-08-21 15:09:57	1201
6	1	1	1130	2019-08-21 15:09:57	ElectroCap International
7	1	1	1131	2019-08-21 15:09:57	cf164560cd9b383005ec3f64b0a300ff5cf1340e213462c03d3fbd61e854c90afa251e2c13dcf5a57add2ad0c184f6be76ac4e3ab84dd99b5804fd5d5f7d314a
8	1	1	1132	2019-08-21 15:09:57	60
9	1	1	1133	2019-08-21 15:09:57	FaceHouseCheck
10	1	1	1134	2019-08-21 15:09:57	BioSemi
11	1	1	1135	2019-08-21 15:09:57	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
12	1	1	1136	2019-08-21 15:09:57	500 Glenridge Ave, St.Catharines, Ontario
13	1	1	1137	2019-08-21 15:09:57	continuous
14	1	1	1138	2019-08-21 15:09:57	7
15	1	1	1139	2019-08-21 15:09:57	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT167/ses-V1/eeg/sub-OTT167_ses-V1_task-faceO_eeg.json
16	1	1	1140	2019-08-21 15:09:57	0
17	1	1	1141	2019-08-21 15:09:57	0
18	1	1	1142	2019-08-21 15:09:57	Brock University
19	1	1	1143	2019-08-21 15:09:57	1ec230911cac5e07e135decac6f214133f0ce7db385563a1fdd4329464ef9a7c97f2613bd78af25f5d719626adea0acf36bd0401adc1df783436075979692691
20	1	1	1144	2019-08-21 15:09:57	128
21	1	1	1145	2019-08-21 15:09:57	Custom equidistant 128 channel BioSemi montage established in coordination with Judith Schedden McMaster Univertisy
22	1	1	1146	2019-08-21 15:09:57	n/a
23	1	1	1147	2019-08-21 15:09:57	0
24	1	1	1148	2019-08-21 15:09:58	0dba9f001419109c277ee7c3f3b5d1942ae5a2c495fce2df42961d1598a8966669bad2a73713ab3bfd5992098e672fd003dce72d86537135bc22014621acd9ca
25	1	1	1149	2019-08-21 15:09:58	4e61d7d7fd45848b58aaa375a71ae8453552bb41e4e8162b5bf4ae6081cfad0b25ceedc266875b3c48c0a6eee109c2aea30f9467406c9f20dd5e7a6227b6ce88
26	1	1	1150	2019-08-21 15:09:58	5ce9ee2c57e3692d22fcf6c154e3bded8cb89d03efdf0bf29994d434a33a6c3214d49c2149f1d478b84352b59546f44fba317a301621e94a86b94642126253ed
27	2	1	1125	2019-08-21 15:10:06	CMS
28	2	1	1126	2019-08-21 15:10:06	512
29	2	1	1127	2019-08-21 15:10:06	0
30	2	1	1128	2019-08-21 15:10:06	n/a
31	2	1	1129	2019-08-21 15:10:06	1246
32	2	1	1130	2019-08-21 15:10:06	ElectroCap International
33	2	1	1131	2019-08-21 15:10:06	cffd6f5a2fc3b47eba529906b6711c464110f076f44c51de581186e876f687106bf41de2b26645a6e35d60e290d0f6a46420cdbb952c2fd1aa9c215dcd45b7f0
34	2	1	1132	2019-08-21 15:10:06	60
35	2	1	1133	2019-08-21 15:10:06	FaceHouseCheck
36	2	1	1134	2019-08-21 15:10:06	BioSemi
37	2	1	1135	2019-08-21 15:10:06	Visual presentation of oval cropped face and house images both upright and inverted. Rare left or right half oval checkerboards were presetned as targets for keypress response.
38	2	1	1136	2019-08-21 15:10:06	500 Glenridge Ave, St.Catharines, Ontario
39	2	1	1137	2019-08-21 15:10:06	continuous
40	2	1	1138	2019-08-21 15:10:06	7
41	2	1	1139	2019-08-21 15:10:06	bids_imports/Face13_BIDSVersion_1.1.0/sub-OTT168/ses-V1/eeg/sub-OTT168_ses-V1_task-faceO_eeg.json
42	2	1	1140	2019-08-21 15:10:06	0
