PhysiologicalTaskEventID	PhysiologicalFileID	EventFileID	InsertTime	Onset	Duration	EventCode	EventValue	EventSample	EventType	TrialType	ResponseTime
1	1	1	2019-08-21 15:09:58	11.734000	0.000000	\N	\N	\N	\N	checker-right	\N
2	1	1	2019-08-21 15:09:58	12.533000	0.000000	\N	\N	\N	\N	house-upright	\N
3	1	1	2019-08-21 15:09:58	13.332000	0.000000	\N	\N	\N	\N	face-upright	\N
4	1	1	2019-08-21 15:09:58	14.148000	0.000000	\N	\N	\N	\N	face-inverted	\N
5	1	1	2019-08-21 15:09:58	14.997000	0.000000	\N	\N	\N	\N	checker-left	\N
6	1	1	2019-08-21 15:09:58	15.508000	0.000000	\N	\N	\N	\N	press-left	\N
7	1	1	2019-08-21 15:09:58	15.796000	0.000000	\N	\N	\N	\N	house-inverted	\N
8	1	1	2019-08-21 15:09:58	16.596000	0.000000	\N	\N	\N	\N	house-inverted	\N
9	1	1	2019-08-21 15:09:58	17.478000	0.000000	\N	\N	\N	\N	face-inverted	\N
10	1	1	2019-08-21 15:09:58	18.243000	0.000000	\N	\N	\N	\N	face-upright	\N
11	1	1	2019-08-21 15:09:58	19.143000	0.000000	\N	\N	\N	\N	house-upright	\N
12	1	1	2019-08-21 15:09:58	19.941000	0.000000	\N	\N	\N	\N	checker-left	\N
13	1	1	2019-08-21 15:09:58	20.554000	0.000000	\N	\N	\N	\N	press-left	\N
14	1	1	2019-08-21 15:09:58	20.758000	0.000000	\N	\N	\N	\N	checker-right	\N
15	1	1	2019-08-21 15:09:58	21.159000	0.000000	\N	\N	\N	\N	press-right	\N
16	1	1	2019-08-21 15:09:58	21.739000	0.000000	\N	\N	\N	\N	face-upright	\N
17	1	1	2019-08-21 15:09:58	22.705000	0.000000	\N	\N	\N	\N	house-inverted	\N
18	1	1	2019-08-21 15:09:58	23.505000	0.000000	\N	\N	\N	\N	checker-right	\N
19	1	1	2019-08-21 15:09:58	23.975000	0.000000	\N	\N	\N	\N	press-right	\N
20	1	1	2019-08-21 15:09:58	24.503000	0.000000	\N	\N	\N	\N	checker-left	\N
21	1	1	2019-08-21 15:09:58	24.853000	0.000000	\N	\N	\N	\N	press-left	\N
22	1	1	2019-08-21 15:09:58	25.419000	0.000000	\N	\N	\N	\N	face-inverted	\N
23	1	1	2019-08-21 15:09:58	26.285000	0.000000	\N	\N	\N	\N	house-upright	\N
24	1	1	2019-08-21 15:09:58	27.200000	0.000000	\N	\N	\N	\N	checker-right	\N
25	1	1	2019-08-21 15:09:58	27.558000	0.000000	\N	\N	\N	\N	press-right	\N
26	1	1	2019-08-21 15:09:58	28.066000	0.000000	\N	\N	\N	\N	face-inverted	\N
27	1	1	2019-08-21 15:09:58	28.915000	0.000000	\N	\N	\N	\N	face-upright	\N
28	1	1	2019-08-21 15:09:58	29.715000	0.000000	\N	\N	\N	\N	checker-left	\N
29	1	1	2019-08-21 15:09:58	30.040000	0.000000	\N	\N	\N	\N	press-left	\N
30	1	1	2019-08-21 15:09:58	30.597000	0.000000	\N	\N	\N	\N	house-upright	\N
31	1	1	2019-08-21 15:09:58	31.513000	0.000000	\N	\N	\N	\N	house-inverted	\N
32	1	1	2019-08-21 15:09:58	32.411000	0.000000	\N	\N	\N	\N	checker-right	\N
33	1	1	2019-08-21 15:09:58	32.855000	0.000000	\N	\N	\N	\N	press-right	\N
34	1	1	2019-08-21 15:09:58	33.178000	0.000000	\N	\N	\N	\N	checker-left	\N
35	1	1	2019-08-21 15:09:58	33.521000	0.000000	\N	\N	\N	\N	press-left	\N
36	1	1	2019-08-21 15:09:58	34.010000	0.000000	\N	\N	\N	\N	face-inverted	\N
