"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,setup,,text,"Record ID",,,,,,,,y,,,,,
setup_lmp,setup,,text,"Last menstrual period (LMP)",,,date_mdy,,,,,y,,,,,
setup_edd,setup,,text,"Estimated date of delivery (EDD)",,,date_ymd,,,,,y,,,,,
setup_delivery,setup,,text,"Actual date of delivery",,,date_ymd,,,,,y,,,,,
setup_offset,setup,,text,"Offset (in weeks) between anonymized birthdate and EDD",,,number,,,,,y,,,,,
recruitment_period,setup,,radio,"Timepoint of participant recruitment","1, Prenatal|2, Postnatal",,,,,,,y,,,,,
setup_primary,setup,,radio,"For multiple children: primary status?","1, Primary | 2, Secondary",,,,,,,,,,,,
setup_sex,setup,,radio,"Sex assigned at birth","M, Male|F, Female|O, Other",,,,,,,,,,,,
admin_caregiver_001,setup_l,,yesno,"Has the caregiver changed since the last study visit?",,,,,,,,y,,,,,
admin_caregiver_002,setup_l,,radio,"Caregiver type for this visit","1, CG Type A (Temporary alternative caregiver)|2, CG Type B (Change in primary caregiver (placement only) without change in legal custody (but BP unable to complete visit))|3, CG Type C (Change in joint custody)|4, CG Type D (Child removed from BP and placed in foster care (change in placement))|5, CG Type E (Change in legal custody and placement, e.g. adoption)|6, CG Type F (Birth mother)",,,,,,,y,,,,,
setup_onsite_started,setup_l,,yesno,"Onsite visit started?",,,,,,,,y,,,,,
setup_event_start,setup_l,,text,"Visit window start date",,,date_ymd,,,,,y,,,,,
setup_event_end,setup_l,,text,"Visit window end date",,,date_ymd,,,,,y,,,,,
url_vineland,setup_l,,text,"Vineland URL",,,,,,,,,,,,,
visit_start_instr01,visit_start,,descriptive,"If you have started the on-site visit for this participant, click 'Submit'",,,,,,,,,,,,,
remote_introduction,remote_survey_introduction,,descriptive,"<div class=""rich-text-field-label""><p>Thank you for participating in the Healthy Brain and Child Development (HBCD) Study! These surveys will help us learn more about your child's development. There will be questions about your child, yourself, and your family and home. <span style=""color: #000000;"">Please make sure you are the only person completing the surveys.</span><br><br>You can only answer each question once, but you can change your answers before you submit each survey. There are no right or wrong answers, but it's important to answer truthfully. Some questions are about things from the past or what you've seen. If you can't remember or are not sure, just make your best guess. Your answers will be kept confidential.</p> <p style=""margin-bottom: 0in; line-height: normal; mso-layout-grid-align: none; text-autospace: none;"">When you need breaks, please take them between surveys. Just be sure to finish and submit the survey you're doing before you leave the page so your answers are saved. When you click the survey link again, you will start the next survey.</p> <p style=""margin-bottom: 0in; line-height: normal; mso-layout-grid-align: none; text-autospace: none;"">If you have any questions or concerns, we are happy to help!  Please contact your HBCD team for more information.</p> <p>Thank you for your participation!</p></div>",,,,,,,"[event-name] != 'v07a_arm_1'",,,,,,
remote_introduction_7a,remote_survey_introduction,,descriptive,"Thank you for participating in the Healthy Brain and Child Development (HBCD) Study! These surveys will help us learn more about your child's development.

The surveys will ask about how your child is growing and about the new things they are learning. There are no right or wrong answers. We want to learn about your child from you!  These surveys will take about 15 minutes.

When you need breaks, you can take one between surveys. Just be sure to finish and submit the survey you're doing before your leave the page, so your answers are saved. When you click the survey link again, you will start the next survey.

If you have any questions or concerns, we are happy to help! Please contact your HBCD team for more information. Thank you for your participation!",,,,,,,"[event-name] = 'v07a_arm_1'",,,,,,
remote_survey_intro_mchat_calc,remote_survey_introduction,,text,"MCHAT calc
",,,,,,,,,,,,," @IF([v07_arm_1][remote_completion_dtt] != '' AND [v07_arm_1][mh_ch_mchat_complete] != '2' AND (rounddown(datediff([screening_arm_1][setup_delivery], 'today', 'M', true), 0) >= 18), @DEFAULT='1', 0)
@HIDDEN"
remote_survey_intro_mlds_en_v6_calc,remote_survey_introduction,,text,"Eng- MLDS V6",,,,,,,,,,,,," @IF(
([v06_arm_1][ncl_ch_mlds_en] >= 30 OR ([v06_arm_1][ncl_ch_mlds_001_i_01(1)] = '0' AND [v06_arm_1][ncl_ch_mlds_001_i_01(2)] = '0' AND [v06_arm_1][ncl_ch_mlds_001_i_01(3)] = '1')), @DEFAULT='1', 0)
@HIDDEN"
remote_survey_intro_mlds_en_v4_calc,remote_survey_introduction,,text,"Eng- MLDS V4",,,,,,,,,,,,," @IF(
([v04_arm_1][ncl_ch_mlds_en] >= 30 OR ([v04_arm_1][ncl_ch_mlds_001_i_01(1)] = '0' AND [v04_arm_1][ncl_ch_mlds_001_i_01(2)] = '0' AND [v04_arm_1][ncl_ch_mlds_001_i_01(3)] = '1')), @DEFAULT='1', 0)
@HIDDEN"
remote_survey_intro_mlds_en_v3_calc,remote_survey_introduction,,text,"Eng- MLDS V3",,,,,,,,,,,,," @IF(
([v03_arm_1][ncl_ch_mlds_en] >= 30 OR ([v03_arm_1][ncl_ch_mlds_001_i_01(1)] = '0' AND [v03_arm_1][ncl_ch_mlds_001_i_01(2)] = '0' AND [v03_arm_1][ncl_ch_mlds_001_i_01(3)] = '1')), @DEFAULT='1', 0)
@HIDDEN"
remote_survey_intro_mlds_es_v6_calc,remote_survey_introduction,,text,"Span- MLDS V6",,,,,,,,,,,,," @IF(
[v06_arm_1][ncl_ch_mlds_es] >= 30, @DEFAULT='1', '')
@HIDDEN"
remote_survey_intro_mlds_es_v4_calc,remote_survey_introduction,,text,"Span- MLDS V4",,,,,,,,,,,,," @IF(
[v04_arm_1][ncl_ch_mlds_es] >= 30, @DEFAULT='1', '')
@HIDDEN"
remote_survey_intro_mlds_es_v3_calc,remote_survey_introduction,,text,"Span- MLDS V3",,,,,,,,,,,,," @IF([v03_arm_1][ncl_ch_mlds_es] >= 30, @DEFAULT='1', '')
@HIDDEN"
remote_survey_intro_instr01,remote_survey_introduction," ",descriptive,"Please click ""Submit"" to start the first survey.",,,,,,,,,,,,,
