GenomeLocID	Chromosome	Strand	EndLoc	Size	StartLoc
1	chr14	undefined	34513546	\N	25527257
2	chr14	undefined	48572414	\N	25587387
3	chr14	undefined	38796570	\N	29098581
4	chr14	undefined	38627088	\N	30273042
5	chr14	undefined	36963168	\N	31911514
6	chr14	undefined	35867735	\N	32212437
7	chr14	undefined	34103849	\N	32892311
8	chr14	undefined	38648269	\N	33105805
9	chr14	undefined	30673946	\N	25815061
10	chr14	undefined	27371010	\N	26144214
11	chr14	undefined	27755330	\N	27014601
12	chr14	undefined	28333233	\N	27138346
13	chr14	undefined	27398787	\N	27183565
14	chr14	undefined	31195119	\N	28890723
15	chr14	undefined	29966758	\N	29163627
16	chr14	undefined	29400544	\N	29337427
17	chr14	undefined	31624912	\N	31447841
18	chr14	undefined	31579660	\N	31447841
19	chr14	undefined	34645516	\N	34303932
20	chr14	undefined	34629879	\N	34303932
21	chr14	undefined	35255592	\N	34345017
22	chr14	undefined	35007083	\N	34592377
23	chr14	undefined	25480511	\N	25388229
24	chr14	undefined	25818391	\N	25682483
25	chr14	undefined	26727381	\N	26591284
26	chr14	undefined	26951367	\N	26727320
27	chr14	undefined	27570388	\N	27283312
28	chr14	undefined	27825307	\N	27370949
29	chr14	undefined	28193003	\N	27507773
30	chr14	undefined	27755330	\N	27538903
31	chr14	undefined	27890597	\N	27538903
32	chr14	undefined	27825307	\N	27538903
33	chr14	undefined	27741023	\N	27548126
34	chr14	undefined	28193003	\N	27740961
35	chr14	undefined	27984022	\N	27869043
36	chr14	undefined	28016663	\N	27890536
37	chr14	undefined	28626187	\N	28333172
38	chr14	undefined	29081374	\N	28528557
39	chr14	undefined	30127450	\N	29470642
40	chr14	undefined	29963035	\N	29740367
41	chr14	undefined	30775005	\N	30413464
42	chr14	undefined	31224226	\N	30969615
43	chr14	undefined	31904761	\N	31711247
44	chr14	undefined	32003929	\N	31844025
45	chr14	undefined	32102906	\N	31879686
46	chr14	undefined	33543227	\N	32986002
47	chr14	undefined	33979580	\N	33739376
48	chr14	undefined	34162678	\N	33913321
49	chr14	undefined	34992049	\N	34834259
50	chr14	undefined	35007724	\N	34943387
51	chr14	undefined	35255592	\N	34958351
52	chr14	undefined	25285191	\N	25267839
53	chr14	undefined	25388290	\N	25326691
54	chr14	undefined	26341799	\N	26285709
58	chr14	Forward	19000060	\N	19000059
59	chr14	Forward	19000141	\N	19000140
60	chr14	Forward	19000224	\N	19000223
61	chr14	Forward	19000368	\N	19000367
62	chr14	Reverse	19000516	\N	19000515
63	chr14	Forward	19001446	\N	19001445
64	chr14	Forward	19002497	\N	19002496
65	chr14	Forward	19003314	\N	19003313
66	chr14	Forward	19004235	\N	19004234
67	chr14	Forward	19004346	\N	19004345
68	chr14	Forward	19005507	\N	19005506
69	chr14	Forward	19006459	\N	19006458
70	chr14	Forward	19007013	\N	19007012
71	chr14	Forward	19007014	\N	19007013
72	chr14	Forward	19007199	\N	19007198
73	chr14	Forward	19009012	\N	19009011
